,dt,author,title,link,board,content,positive,negative,score
5598,2016/11/3,tosay,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1478176371.A.426.html,Stock,大家注意以下引用fb分享網頁，如有不當，請來信告知===既然最近流行檢舉，那好吧，到底是自由買賣股票有錯，還是散布不實言論意圖打壓股價有罪，我看交給法官來判好了，從今天開始，我們將請所有社友幫忙搜集所有空方意圖影響股價之言論，以及意圖操弄股價的空方共犯，還有賴群，私訊等各種空方造謠，再加上大量放空的融?資料，一併交給相關單位，追查是否有惡意打壓股價，造成特定人士獲利之行為，請有相關證據的朋友，直接將相關證據傳給社團理事「江大頭」，做整理統計，「公道如果不在人心，那是非就各憑實力吧」===也就是說，如果你有贊聲的，也算是共犯本人不針對此事發表立場，希望各位網友能了解不過這裡是股板，還是發表一下該股票的分析以下針對實際數據分析，絕無不實技術面來看要往上，還是要解決掉 10/27， 10/28的大量高點要往下10/4的爆大價成交者願意容許的點基本面Q1，Q2都是虧錢的，不是不能漲，那就看Q3才爆是否能有驚艷的表現不過個人從月營收看不到亮點，毛利淨利在Q1/Q2也是負值，還是一樣要看Q3--,15,4,1
5821,2016/11/10,jwzkp,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1478781893.A.C60.html,Stock,Q3公布了凱衛 105年第3季綜合損益表，每股盈餘0.28元年增 -55.13%終於停止虧損啦明天續噴??--,58,1,1
5947,2016/11/14,bbs3379,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479098281.A.E35.html,Stock,沒有基本面的股票  玩的就是籌碼戰和心理戰主力利用融資融券鎖單   準備要多空雙賺有膽識的人可以先準備好資金  看好時機放空我估計目前已經走到末升段了萬般拉抬只為出技術面的判斷看你是要高檔爆量長黑尖頭反轉或是做頭破線慢慢盤跌   現在就是等訊號出現就是空點搭配投顧電視上瘋狂放送漲停板   搭配新聞利多出來可能是虧轉盈  營收大幅增加   接到大訂單等等放空最怕的就是被反咬  所以要特別注意資金控管和風險漲快3倍的股票   肉真的很多加上股票目前還算中低價位  小戶也可以空不會有太大負擔等訊號一出現我就會空了  只是擔心到時候沒券可以空--,17,2,-1
5953,2016/11/14,comemail,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479091903.A.92F.html,Stock,已停損已實現損益 -三百多萬仍有部份未實現損益  不過沒關係影響不大就放著繼續看看seafood能帶著集保三千散戶走多遠底下開放多軍信徒嘲笑文+空軍噓文~~若有人身攻擊請板主也不要桶   謝謝~~--,183,11,1
5977,2016/11/14,PPDTMK,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479089463.A.9F0.html,Stock,感謝大大賞錢有人規定低於淨值10塊就要跌嗎何況Q3還是賺錢 ，你鍵盤估第三季還看錯方向離大大停損50不遠了，感謝有空空單保證金不足去補錢跟著PTT高手反做就是爽--,19,21,1
5993,2016/11/14,weron,Re: [標的] 5201凱衛  理性判斷  本多終勝,https://www.ptt.cc/bbs/Stock/M.1479095844.A.D64.html,Stock,"看了一下前文，如果壓的真的是本金的15%被軋的壓力會很大，主力一炒就漲兩三倍的情況並不少見，如果有機會會賠30%以上已經不是""本多終勝""了。我只玩股票，看空的時候一檔最多只壓2-3%，然後同時空十幾二十檔，通常一定會遇到明明是爛股卻一直飆，當然也有自己看錯的...今年有遇到的隨便舉個幾檔:宏達電 空86 最高110 現價77網龍   空34 最高 55 現價34.7匯鑽科 空64 最高 83 現價51策略就是只要他還是爛股就放者凹到我賺錢為止...本多終勝 :Q怕被酸只會嘴砲還是貼個對帳單(未實現) --",11,0,-1
6032,2016/11/15,y22710616,[新聞] 凱衛列注意股！10月每股盈餘0.09元,https://www.ptt.cc/bbs/Stock/M.1479209090.A.5E3.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。2.連結過長請善用  縮網址，連結能不能點擊者板規4-1處份。3.心得/評論請盡量充實，心得過短將會以4-4一行文規範水桶處份。4.請依格式輸入內容，未依格式者板規4-1砍文處份。---------------------------按ctrl+y可刪除以上內容。-------------------,69,4,-1
6033,2016/11/16,a0000000001f,[請益] 5201凱衛 信用交易,https://www.ptt.cc/bbs/Stock/M.1479227490.A.20D.html,Stock,信用交易是先要有一張融資，才能有一張融券！假如某檔股票融資餘額6055張，融券餘額4727張假如這6055張融資明天一次全部現金償還，融券明天是不是也要全部回補？假如融券當日沒回補完，券商是不是要去標借現券來還？假如成真，那強制回補的力道，會跳幾根漲停？之後會跳幾根跌停？我只是說假如，想一想問一問而已。--,5,0,0
6050,2016/11/16,melvin1234,[標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479277007.A.8EA.html,Stock,1. 標的：5201 凱衛2. 分類：多3. 分析/正文：   5201 凱衛 基本面爛到爆 所以就不討論基本面了   1. 股本 3.07億 也就是說 總共也才3萬多張股票而已   2. 20元爆出8千多張大量 股市老手的經驗是 主力已經出貨完畢了   3. 版上24元有中實戶喊空，且大量進場放空，喊出停損價50元   4. 此後 股價一路上漲到今天的收盤41.6新高價   5. 此中實戶也於37左右停損了   以前的經驗是，主力股爆大量後，表示主力出貨，   所以一般都說頭部通常伴隨著大量，但是5201已經狠狠地告訴大家，   爆出超級大量不一定是頭部，很明顯的就是不嘎死空頭絕不回頭，   我今天在突破平盤時進場了5張，希望達到50元的目標價。4. 進退場機制：40元進場 50元停利 37元停損--,91,8,1
6068,2016/11/17,Beer,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479384324.A.2D3.html,Stock,凱衛資訊股份有限公司股票（代號：5201）因最近10個營業日內有6個營業日經櫃買中心公布注意交易資訊，爰自105年11月18日起10個營業日(105年11月18日至105年12月1日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。來源:--,26,5,-1
6074,2016/11/17,cpy5740,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479387256.A.380.html,Stock,這一天還是來了這檔股今天盤中已經出現多單走人的現象所以我希望有這檔股的朋友可以冷靜的思考一下是不是賺夠多了這檔股走到目前為止做多的應該很難賠到錢所以在30元前推薦買進的各家股神其實都不是壞人因為目前來說根本沒有被坑殺的多軍我這兩天都有在盤中現沖此檔我都先賣後買，雖然賺不多，但都是獲利明天盤中會再決定要多還是空有招開盤八法你們懂嗎？有機會再跟大家分享<目前這檔建議看戲就好，別碰最安全>心，執筆收用--,48,7,1
6082,2016/11/17,lalelee,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479366305.A.441.html,Stock,"去看集保分布這三個月的趨勢吧，400張以上從53%到24%，400以下則從45%到75%，你如果相信 ""一張不賣 奇蹟自來"" 這句話， 可以勝過 ""獲利了結""的人性，就繼續抱著吧~--",19,11,-1
6084,2016/11/17,melvin1234,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479346798.A.0A5.html,Stock,今天又續漲了 雖然我只買5張 也不打算加碼昨天40元買了5張後 發文想聽聽看版友的意見如何沒想到推文一面倒的看空 說到時候連續跌停 我都停損不掉還有人丟水球叫我小心這檔股票 我不會回水球 但我有看到 謝謝你我現在在思考的是 28法則這件事 在股版是真的適用的想再聽聽大家的意見 會漲到50嗎? 還是開始要跌了?--,92,11,1
6094,2016/11/17,stosto,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479371292.A.BAD.html,Stock,看樣子你沒看過古董張的回憶錄我忘記他當時做哪檔了，他說他股票出光後，但是股價還是在噴人氣很重要的，現在氣勢正旺!! 不能斷--,14,0,1
6121,2016/11/18,melvin1234,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479437556.A.1DE.html,Stock,漲停了!!今天不是要來炫耀賺錢的 說過了40元買5張 頂多賺便當錢而已也不是來打臉看空推文的 打臉或是酸完全沒意義但理性討論我認為很有意義這檔股票 2個議題 我想很值得做股票的大家來討論一下大家腦力激盪一下1. 28法則:   當很多人看不爽這檔進去空，或是沒進場空，   只想看他跌，然後看多軍笑話時，為何他偏偏就不跌反漲?2. lalelee提到的集保分布這三個月的趨勢:   這總證交所公布的資料是否有參考價值?   大戶是否早已開了幾百個戶頭做準備了?我不是股神，也不知道會漲到哪裡，只是希望大家理性討論看看，希望能對大家日後做這總主力股會有幫助。--,25,2,1
6126,2016/11/18,Sirius1812,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479439036.A.583.html,Stock,5201多空軍戰很久了，我是一直在場邊看戲，因為這場精彩大戲不用買票，不看不行。現在來看是多方完勝空方沒錯，既然說要理性討論，那我也來兩邊打臉一下。先給空方，來信大當初發文要空的時候，印象中當時的價位是在25左右吧，他有寫出完整的交易計劃，也計算過風險，資金控管也考慮過了，所以就算他『逆勢』做空，我也不會覺得有甚麼不妥，但是跟風做空的人，你們是為甚麼空5201?因為來信大空所以空? 因為看5201一直漲不爽所以空? 因為看某seafood不爽所以空?你們有沒有自己的交易計劃? 資金控管? 停損機制?好啦，現在來信大認賠出場了，你們空單還抱著嗎? 為什麼抱?______________________________________________________________________對於做多的，我不是很想這樣講，如果你的初始部位，不是低接，不是做突破，你是追價買進的(EX買在35以上而且現在還抱著)以我的觀點，你們全部都是輸家。同前面罵做空的一樣，你們追的理由是甚麼?跟風?  看他很兇所以追?  因為seafood很強大很邱所以衝?這次或許可以賺，但是你們這種行為，令人擔憂阿...沒有交易計畫，沒有資金控管，長期下來，運氣總有用完的一天。______________________________________________________________________說真的，10/06~10/26買進的也好不到哪去。我印象中某人是從18左右開始喊的。我沒看籌碼跟基本面，這種我看就多頭阿，沒做頭前不看他，短線看11/15低點不要破就好。當然能參考，如果主力真的很用心去開幾百個戶頭營造散戶跟風的狀況我也是佩服。市場的羊，永遠宰不完。不是不能碰，是不要盲目。很多人是專做主力股，也賺到錢，重點是他們有自己的一套方法跟在主力後面上車，然後在適當的時候下車。但是大多數人是傻傻追，噴出笑呵呵，結果主力勞跑的時候他們還傻傻抱。樓上這位同學你在崩潰甚麼?,0,6,1
6144,2016/11/21,kurama1984,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479551346.A.A6F.html,Stock,純粹技術討論這支股票總籌碼3萬1假設沒有轉手的籌碼有董監加融券約1萬1市面上如此熱門的抄股有2萬張上週成交量有3萬也就是說上週做這檔股票易手下車的人就高達流通性150%如果我是西傅最有機會下車就是上禮拜不知道有人知道西傅真的一張不賣嗎？嘻嘻-----Sent from JPTT on my LGE LG-D855.--雙鴻單週流通性還沒有一週比西傅高 越高券商越爽就是了西傅看起來財力很夠啊 如果手上抓的籌碼夠真的是被散戶自己抄上去要是散戶不抄就要自己手續費和稅金抄了11/19 18:44週五開黑盤 我猜就是出走耶。而且看盤後融券減超多 下週沒券尬 往上沒動力真的看不出來 內線可能放一個消息 空軍就一天全滅口11/19 19:23多空賭很大耶 風險超高虎爛 空軍買不跟出 要傳家?空軍看來要消失了 消失之後 這隻股票沒利多西傅要買垃圾放家裡?反而像是由多轉空 跟空軍勾結好了 準備收錢哪來的慧眼 XD不能說沒可能 但進度條還早 沒人賣可能先尬死了推 fgdgd       : 現在我推1603華電 這檔很有機會5年內 衝破50元→ fgdgd       : 我明牌已經報得很清楚了 你們記得一定要買如果有qe之類的消息會考慮→ fgdgd       : 有聽我推薦買進賺到錢的人  記得事後給我P幣?推 cpy5740     : 1603筆記起來推 fgdgd       : 我在本板也有發1603華電的標的文  參考 #1O7qLgq推 cpy5740     : 有賺的話請你吃雞排這隻股票的小動作好多 上下玩死人 散戶現在買賣勝算都小於50%推 EX37        : fgdgd讚，我也是推華電，但我看量跟線推 qaz214536   : 都已經說一張不賣了，當然要留一張推 lovecab     : 大家討論這麼熱烈。下週一要崩崩了？趁融券跑的時候出貨 技術上可以做成漲停要是融券出完了 順勢來個大怒神XD66362E11/19 21:04拿一張股票出席股東會XD股板經過樂陞之後還是不經判斷亂跟的應該會減少啦 (樂觀)其實禮拜五有略顯鬆動 等到融券回補的結束之後 鬆動會更明顯 看會不會出現只有少數人拉漲多數人下車的盤面理論上是大籌碼有主控權 而且他的優勢是死豬不怕滾水燙 基本面這麼差 買的人自己心甘情願放在這養 公司還獲得大筆資金投資 來年放個財報嚇死空軍公司漲十倍到底要不要賣呢 反正以後再買回來XD多空都分析了 不知道閣下有高見?這部分我不懂 但反證如果股價剩百分之一肯定有影響單純嘴炮一下 很大機會會往下 因為這個量大到不受控制 只要散戶內心不夠堅強 很容易一這肯定有可能的啊 他又不是外資只做單向就像外資今天又買100多張的消息背後 可沒說買1000多張 賣900多張對 很多人貢獻稅金 手續費但人性是怠惰的 一堆人還抱在手上^^恐慌的時候就裝死啊 沒有買賣 沒有傷害現在是多空的微妙時刻 摸頭追高都不想進去^^我覺得主力在測散戶風向 如果散戶沒明顯賣壓 主力才會進場 沒意外開盤要拉漲帶風向散戶絕對是急著要逃 跟做空的一樣急這要看主力在前面時間的獲利程度決定膽子的大小了我覺得可恥的做法是空單帶上去 到50塊先把約定做滿給交帶 這時候融券3000一定買好買滿 然後再把庫存一次丟光 這樣殺下去 一定可以黑到底2天 絕對沒人敢留 多空雙巴出現黑到底的情況 不用看就是西傅傑作了不過想也知道西傅已發文退出市場我相信炒到一張1000萬 也只是事在人為每個人都有收手的價碼禮拜五早盤就有人忍不住誘惑了啦真有人跟隨你炒上去不放的人太少了淨值假設是3億 炒到30億之前 董事長就賣公司了 不用散戶賣 想開無限礦 沒人會跟錢過不去反正一堆人懶得動腦抱在手上就對了這2樓跟我沒關係吧你可能比我還相信我說的 千萬別玩啊 孩子玩不完了 叫人不要跳進去送死 今天融券又抓1000個交替 真是笑死我要麻這一千是seafood跳下來買波動 不然真是看不懂阿,51,6,-1
6176,2016/11/21,XINGUAN,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479616328.A.C34.html,Stock,籌碼，空頭不死，多頭不止，尬空的股票就是這樣技術，禮拜一是關鍵，長紅後趨勢不對就有判斷訊號出來目前不急下定論啊......，畢竟融券還沒死光，說不定定還有人繼續空，這種妖股誰知道另外這支股票也不只師傅在走，還有老師啊......，把股票當兄弟的老師跟轟天雷當時光機的，老師跟股票結拜也要跟你說？--我也覺得還早謝啦兄弟XD我今天進誠品看他的書，裡面有寫到這出場訊號為何很早之前就有講這次不公告個人出場時間了......反正等拜把兄弟通知啦：謝啦兄弟，已經到了關鍵價，先帶會員獲利入袋囉！,12,2,0
6201,2016/11/21,KEVIN14752,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479706905.A.E4A.html,Stock,想借標題問一下這檔個股 看了一下常用的TEJ資料庫 出現了我之前沒看過的會計師給的評論 有沒有人可以幫忙翻譯一下--,15,0,-1
6202,2016/11/21,lalelee,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479713505.A.762.html,Stock,這檔我從10月初一直看戲到現在，因為對籌碼的了解不深， 所以很感興趣， 追蹤到現在，想請問一下， 在推文中看到說只剩玉山還有20來張的券可以空，但去查集保融資餘額到今天為止是: 6055 張， 融券餘額是: 3932 張，那不就代表還有 2100 多張融券可空嗎 ??這2100 張跑去哪了 ?不知道我的理解哪裡有錯誤  謝謝--,25,1,-1
6206,2016/11/21,melvin1234,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479693973.A.BE0.html,Stock,交代一下當初發文時 進退場機制：40元進場 50元停利 37元停損今天盤前掛50賣出 5張，成交 50.2 小賺便當錢其實 版主說得很對 comemail當初放空有照著策略走所以comemail是贏家。然而 多方35元以上買進的，你們都是輸家。比較可惜的是comemail如果當初堅持50停損的話結局是否會有不同?我覺得今天這檔主力股 大家還是可以 值得討論一下的作為以後做主力股的借鏡--,57,12,1
6331,2016/11/23,scotthsiung,Re: [標的] 主力股 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479914057.A.596.html,Stock,如題..此股東結構已經非常明顯的轉移1~20張的小股東從九月多W39 只佔15%到目前W47上升到50%然後超過1000張的大股東從32%急速脫手到15%有鬼  快逃阿~~很快就要上新聞版面了--,35,3,-1
6352,2016/11/24,clark0816,[標的] 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1479968255.A.CFB.html,Stock,版主說問個股，要用標的。1. 標的：5201凱衛2. 分類：請益3. 分析/正文：看跌者：5201終於跌下來了。這是故意跌下來，讓散戶進場空的點。然後再一路鎖碼漲停？嘎死散戶呢？（我真的懷疑有心機這麼重的主力）看多者；還是凱衛要回到基本面了嗎？（我猜有點難）？請求各位股市冥燈給於正確答案？4. 進退場機制：做多者，38元-37元該退場了。（這是版友說的）做空者，願主保佑你有雄厚的資本凹。因為可能天天鎖漲停。無法回補。--------------------------------------喔！我不知道現在停資停券了。你指的師傅應該不是我吧！雖然我股齡20年。又是念財管系的。以我賠掉1000萬身家的人，不是指我吧你一定沒有遇到鬼股之一，佶優。從2元。飆到80元。那時財政部都介入了，結果空軍每一個都哭出來。因為他有高獲利了。,31,14,1
6420,2016/11/25,Sirius1812,Re: [標的] 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1480057796.A.D6C.html,Stock,拋開多空對立，來理性看看這檔飆股。今天的下跌出現幾個可以觀察的現象：1.11/21長下影線被跌破。  也就是在這一天進場、撐盤、護盤的在今天收盤後，全數套牢，  如果無法短時間站回，那精美的散戶持股比重稍微信心鬆動應該頗精彩。2.11/15、16、17量滾量上攻低點36.6，  多頭就看這三根吧，這三根都被套的話，整個技術面都爛掉了，  那精美的散戶比重會續抱還是會變成賣壓，讓我們繼續看下去。結論：1.市場的羊永遠宰不完。2.投資理財有賺有賠，自己的錢請自己負責。3.主力很強大，以上分析可能無效，但是大多數正常股票應該還是適用的。--,177,3,-1
6486,2016/11/29,clark0816,[標的] 5201 凱衛,https://www.ptt.cc/bbs/Stock/M.1480371836.A.0EE.html,Stock,1. 標的：5201 凱衛2.分類：心得（主力吃貨中）3. 分析/正文：看了最近的籌碼，以為融資減幅沒有融券的大。看樣子，凱衛炒作已經告一段落。「外資」一直在吃貨。（可能是本土資金，假冒外資之名），昨天融資減幅大，融券卻多放空。看樣子，凱衛在炒作下不容易退場。反而現在進場放空者，要有被嘎的可能性。4. 進退場機制：退場：50元吧前波高點進場：請看籌碼面，所謂「外資」是否成為賣方？資券比是否下降？才是進場好點位--從籌碼看股票而已。1.外資連續兩天做多買進。2.融資昨天減3.融券昨天增。單就籌碼方面來看。主力吃貨的可能性不小。,30,6,1
6570,2016/12/1,melvin1234,Re: [標的] 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1480569538.A.CE1.html,Stock,也來技術分析一下 (不管其他醜碼面基本面等等...)1. 版大發文那天跌停，之後沒再出現過低點2. 沒跌破跌停以來連續4天沒跌破版大說的36.63. KD指標跌到低檔4. 明天解除關緊閉5. 今日41進場5張 停利50 停損376. 主力很強大，以上分析可能無效，但是大多數正常股票應該還是適用的--,18,1,1
6665,2016/12/5,sdes6332,Re: [標的] 5201凱衛,https://www.ptt.cc/bbs/Stock/M.1480909114.A.802.html,Stock,這三天把凱衛這檔股票空單出清，多空淨額=-1...因為資金有更有效率的去處其實多單沒有出在最高，說五十要出場也還是被嚇到了QQ  一直到跌下來才出多單出場均價47.38、空單回補均價在42.2，總張數六十多張出光了就不太想多講什麼，只是想來發一篇炫...呃，勸導文，積積陰德這檔其實不難1.基本面。嗯，上週五市值是12.2億，近四季盈餘為16萬3千元，本益比7，484倍。十六萬這數字...去7-11打工薪水都比這高，軟體代理業可以做成這樣我也是醉了。2.技術面，這檔技術面沒價值，左右手互丟丟出來的給我足夠空單我也能畫出來一個相反的。3.現在買他就只剩下籌碼面可以買了，這也是我要講的重點買方認為自己未來有機會軋空，在於明年四月左右空軍會面臨強制回補的規定，屆時買盤可以讓自己下車現在重點就在這，這些空單是否能夠支撐所有要下車的多頭呢?說實話籌碼K線我已經有點亂掉了，看不太出來哪些是真的買盤賣盤、哪些是匯撥...所以從最簡單的集保庫存去看就好從富豪居的海鮮大家長月風喊了之後到現在一百張以下的散戶多了2，207個，持股多了10，993張資料來源是nlog 股務部資訊平台 同時間，券單張數是4，154嗯，四千一百張買單夠不夠讓一萬一千張的多軍下車呢?我數學不好，五樓幫我算一下。總結就是，用籌碼K線去看看過去類似凱衛這種無基本面支撐的炒作股可以發現買在山頂以及山腰的不一定都是散戶，但到谷底還沒走的絕對是散戶因為要把錢拿去買翻倍的股票，所以只剩一張空單見證奇蹟看看月風多有能耐，可以讓一萬張散戶安全下庄XD--唐天寶年間，胡人安祿山為三鎮節度使，擁兵自重，權傾一時。祿山甚好楊貴妃雙乳，但知褻帝妃唯死罪，久藏念於中，祿山與高力士暢飲於亭，祿山仗酒意，盡訴宿願。力士允諾，索萬金為酬。力士暗配癢癢水予宮女，待貴妃沐浴，塗其內衣。貴妃著衣後甚癢，怠召御醫入宮。御醫受力士賄，稟玄宗，非胡人涎不可治。力士預藏解藥於祿山嘴。玄宗急召祿山入宮，舐貴妃胸，祿山滿足其慾，貴妃亦癒。力士急索其償，祿山欲賴之。力士憤而離去。力士又暗配癢癢水予宮女，待玄宗沐浴，塗其內褲。翌日，玄宗急召祿山入宮...--,29,3,-1
6731,2016/12/7,loken0408,[標的]5201 凱衛,https://www.ptt.cc/bbs/Stock/M.1481118493.A.B99.html,Stock,1. 標的：5201 凱衛2. 分類：多3. 分析/正文：今天公布11月營收2123萬年增4.37%融資使用率來到了84.8%接近一個月的新高融券這6天來增加至613張但股票不跌反漲看似要上演嘎空行情今日44元進場5張打算炒一下短線4. 進退場機制：44元進場，47元出場，40元停損--,28,5,1
7171,2016/12/21,gauss5566,[標的] 5201 空,https://www.ptt.cc/bbs/Stock/M.1482331131.A.6BF.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。2.發標的文未充實內文，多空理由不充實者，板規1-1-5或4-4處份3.進退場機制若非長期投資，請輸入停損價，否則依板規1-1-6處份4.若為長期投資，但無充份分析理由，將依板規1-1-5處份4.請依格式輸入內容，未依格式者板規1-1-2砍文處份。5.分類選填請益或心得者，進退場機制得刪去。-----,109,16,-1
7260,2016/12/23,y22710616,[標的] 5201 凱衛,https://www.ptt.cc/bbs/Stock/M.1482460497.A.BC7.html,Stock,----------------------------------------------------------------1. 標的：5201 凱衛2. 分類：空/心得3. 分析/正文：從１０月、１１月份來信大po文提醒大家要小心這檔股票原因是股本小，容易被主力作手操縱只要稍微把持個籌碼就很好拉但大量的放空，賺錢了嗎？有時候不要盲從的跟牌要有自己的看法，想法像我就認為這個主力要面子因為他還有其他生意要做靠這個來吸人氣，然後賺大攤的賣房子比操縱股票輕鬆多了好吧，目前從50塊沿路下噴到近期低點29塊跌幅,73,15,-1
7293,2016/12/26,gauss5566,Re: [標的] 5201 凱衛,https://www.ptt.cc/bbs/Stock/M.1482742744.A.11F.html,Stock,這是我前幾天發的標的禮拜五當時反彈時還一堆人說什麼股海冥燈事實再度證明 反彈連34都過不去 可以想見 反彈只是被些投機客給炒上去投機客離場後 籌碼再度陷入多殺多的情況只要看今天的分時線即可發現 成交量低迷 價格卻一直往下殺獲利了結的早就數鈔票了 剩下的信徒只要每天磨一點 就可以把他們信心都擊潰社團內出現一堆獲利了結文 不知道還沒出貨的信徒是什麼感覺如果上禮拜有聽我的 每天只要開盤可空就空 今天大家就又賺了個大紅包我知道社團也很多人在看ＰＴＴ 如果看到此篇的信徒們早點下車吧 一堆師兄師姐早就棄你們而去了 幫你們ＱＱ--,76,8,-1
7445,2017/1/3,tosay,Re: [標的] 5201 凱衛,https://www.ptt.cc/bbs/Stock/M.1483191382.A.5B9.html,Stock,大家好在2016的最後一天，最開心的就是要感謝seafood個人的心得就是他讓我們了解，真的炒作的股票終究是要下來的帶著一大群信徒跟散戶無法撐住的空在該空的地方獲利是快而且豐收的--,25,2,-1
