,dt,author,title,link,board,content,positive,negative,score,content_score
244,2016/6/1,s10330076,[標的] 朋程(8255),https://www.ptt.cc/bbs/Stock/M.1464756955.A.56D.html,Stock,"1. 標的：朋程(8255)

2. 分類：多

3. 分析/正文：
技術面:
從技術線來看目前反轉遇壓，壓力只要過了預期會在漲一段挑戰上次的新高，如附圖，剛
好是上個盤整區塊的底部，因為是挑戰壓力，故停損點設定的蠻近的，只求小賠大賺。
http://i.imgur.com/rpNqIOo.jpg

消息面:
朋程(8255)佈局穩壓調節IC多年，終於開花結果，朋程總經理吳憲忠表示，穩壓調節IC已
在5月正式接到訂單，預計6月開始出貨給中國及蘇聯廠商，另外一家客戶也將在7月進行
最後認證，目前穩壓調節IC是出貨自用車，未來將出貨給大卡車，穩壓調節IC可望成為推
升今年下半年業績的新動能。


4. 進退場機制：
於剛剛126.5元進場建立基本持股。
停損設定121.5元。",63,0,1,
264,2016/6/2,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1464828047.A.8F5.html,Stock,昨天有上車的人  要跟妳們說聲抱歉原本預估昨天會有百點大行情可惜中尾盤量縮只小賺個五六拾點我自己十來萬對貪心的我們多軍來說真的很難滿足昨天推文下面有人回應MSCI因素其實我真的覺得你們太多心我昨日有在盤中閒聊推文說過再說一次MSCI調降 J3之前幾週在台股已經反應過了已經大跌過你失戀了  總不可能難過一輩子吧既然都反應過 難過過就是會有下一春不然其實MSCI也不是第一次了難道調降那麼多次 那台股豈不是要倒了這,82,2,0,
311,2016/6/3,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1464915187.A.C29.html,Stock,雖然連續兩天都說對了多跟空漲都有賺到 跌的時候都沒虧到不過內容還是有小落差可見我不是股神請各位鄉民別亂吹捧我只是個凡人所以要跟的請三思而後行今天我看多唷美股今天早上黑翻紅雖然新聞上面都說FED升息可能無望不過本人一向不相信新聞妓者的話我想今天美股能由黑翻紅應該是市場相信稍晚公布的5月就業報告有信心另外我很關心的原油價格也從連跌兩天後走高原油期貨價格又站上50所以我真心認為今天會漲還會大漲我今天衝了反正我今年就是賭在這波我不是股神只是連續四年每年都正回報投資一定有風險要跟請三思--我是說 市場是對非農有信心啦你知道我以前是做什麼的嗎?我以前是職業賭徒.........專門靠體育賽事賭盤賺錢的靠國外盤口跟台灣盤口的水位高低跟讓球找出價差從中套利因為其實台灣盤口基本上沒有自己開盤能力都是跟國外盤 會有個幾秒的時間差從中下單 套利所以我對於賭盤的一些術語很專精常常聽一些賭客總是會說 走地變盤莊家陰謀什麼的?其實我自己都覺得很好笑莊家只是靠水位高低 跟讓球 讓a隊跟b隊的下注金額趨於接近從水位賺取獲利  根本其實不大會在乎哪隊伍輸贏相對股票市場也是什麼黑手什麼怪手什麼的你真的覺得你都稱呼它叫做黑手了代表它的資金夠撼動市場的價格你覺得他會在意ptt這堆小蝦咪的想法嗎不   他根本不在意所以不需要擔心什麼怪手黑手的我覺得這根本是庸人自擾之就像一位50哥鄉民說的台股市場 我只相信 國安基金 跟 內線交易黑手在我眼底  是個屁 根本不須煩惱這個那個不是賭球啦.......那個是不管a隊贏或者b隊贏 都會贏錢唷簡單說是套利主要是跟水位差 跟 讓球差只是現在莊家也在進步系統設置變盤也越來越快等於你的時間差 會越來越小也越來越會阻擋單子 跟大單變成你的手指要按的越來越快另外他們也會觀察一些奇怪的單據設置黑名單所以其實在這塊越來越不容易賺錢啦,67,4,1,
342,2016/6/4,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1465001308.A.300.html,Stock,#NAME?,52,2,1,
443,2016/6/7,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1465258497.A.F2F.html,Stock,今天美股開高大漲盤中FED主席也給我們帶來個好消息經濟逐漸復甦 升息應該今年應該有望加上我最注意的石油價格連漲趨於穩定今天沒理由看空昨日盤中外資大舉入侵明眼人都看得出來有利可圖今天再度台指看多多多多多老天爺送錢  就 趕快來領另外3504 我上篇說我只會買20張昨天終於收完 另外不小心又多買了10張這檔可能會放著一兩個月要跟上  可考慮清楚反正這檔 講白了 就是賭大的要就兩倍 要賠10%總之今天別錯過台指老天有眼 遇水則發昨日的大雨 就如同空軍的眼淚畢業季到了就讓我們替他們辦一場盛大的畢業典禮！--,104,2,1,
457,2016/6/7,s10330076,[標的] 00632R(T50反1),https://www.ptt.cc/bbs/Stock/M.1465266013.A.1B3.html,Stock,-------------------------------------------------------------------------1.發文前請先詳閱[標的]分類發文規範，未依規範發文將受處份。2.發標的文未充實內文，多空理由不充實者，板規4-1或4-4處份3.退場機制未說明價位、出場條件或長期投資，並敘述對應之理由者，板規4-14.請依格式輸入內容，未依格式者板規4-1砍文處份。5.分類選填請益或心得者，進退場機制得刪去。---------------------按ctrl+y可刪除以上內,59,1,1,
473,2016/6/8,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1465345516.A.4B6.html,Stock,很幸運運氣很好連五拉五 又猜對邊昨天盤中推文我就有說了昨天平的 真的不配當多軍想當然爾 各位應該也知道我今天依然是看多不只多還看非常多多多多多多多要說原因 只能說氣勢起來了量也起來了 最近地震那麼多以前人說地震是地牛翻身大家知道華爾街那頭牛吧這幾日台灣地震代表猛牛要起床啦牛市要來了我們做股票做指數就是要順浪而行何必跟自己的荷包過意不去昨天下午過後收到很多的私信有的是感謝 有的事提問我沒有回覆任何一封在這裡我一次回答你們感謝我的人  真的不需要感謝因為你肯定是跟我一樣的看法才做對邊我的文章只是增加你的信心我才不相信 你原本是要看空 看完我文章你會做多這我真的不大可能頂多只是讓原本要做空的人 收手觀望或者 讓想做多的增加投資金額罷了所以真的不需要感謝我至於私信那些跟我說他原本做空現在賠很多問我有沒有建議的我頂多只能建議你們先收手觀望這陣子吧我才不相信 你原本看空 我一句話會讓你做多我才沒有那麼大的影響力勒------------------------------------------另外再補充昨天還是一堆人叫我股神什麼的?我要跟大家說我不是股神我心中的台股股神是尹教授尹教授股票操作非常的神準我會很喜歡看趨勢來操作股票就是因為尹教授尹衍樑現在身價我預估起碼50億美金他對未來趨勢產業每步的投資都非常的正確神準他才是真正的股神更難能可貴的是他對社會的付出更是完全不吝嗇捐款甚至承諾死後捐出百分之95的財產做公益這才是我心中股神真正的面貌--------------------------------------------我要增加一些股票點不然會被砍文章這裡是補充會繼續看好多   主要是因為台積電占權指成分高昨天股東會表現得很好相信可以當台股這波突破的領頭羊現在市場會開始漸漸往多邊靠近趨勢就是這樣尤其早上美股也開紅盤投資人信心都回籠萬點榮景相信是有機會的現在還不怕縮的時候只怕是該賺的賺不夠多而已,70,0,1,
595,2016/6/13,DuGu,Re: [標的] 大台  多多多多多,https://www.ptt.cc/bbs/Stock/M.1465781786.A.336.html,Stock,今天因為連假過後 趕著九點搶頭香去銀行辦事情怕連假後銀行被擠爆 所以就沒有再盤前PO文本來就預期今天會下跌因為國際原油價格走跌只是會跌那麼多倒是預料之外好險今天趕著辦事情上周最後一天也亮紅盤在這裡PO文目前勝率還是百分百連六拉六如我之前所說 這波的漲跌是跟整體趨勢有很大的關係所以很看油價的走向幾乎都取決於油價目前指數都以觀望另外標的 3504我當初收了30張 平均價格落在 30.5左右今天有跌回來當初沒上車的板友可以考慮現在又回到布局價格左右可以少量買進看看有沒有成為飆股的可能抱歉 一些會看我文的人今天沒來的急 在盤前PO文沒讓你們有參考的依據 說聲抱歉本周指數我建議還是先觀望股票 標的 還是在35043504持股比例 落在 全部資金的百分之10到15中間其他建議留現金觀望就這樣--按照之前習慣 不平 我會再推文中說基本上每天都是會平的唷沒變啦  只是把台股停市這幾天國際市場的變化補回來而已對我們的荷包完全沒影響該了結的早了結了請fj股神  放心就是股本低要衝就會飛快的拿少少錢 買個飆股的 車票就如同我所說要賠股價10% 就停損要賺就兩倍我最喜歡這樣  花小錢買大報酬啦這週先觀望一有多頭訊號我會po文請mmoeri放心我這樣講好了股票會漲 是因為 買的人大過於賣的人大家搶著買 就會暴漲股市價格 跌  被解讀成 賣的人大過於買的人就是投資人看衰市場 認為經濟在走下坡經濟在走下坡的時候 能源需求量 是會降低的那就代表石油的供給過剩 當供給過剩的時候價格就會走貶我這樣反過來說  也許你會比較好懂所以市場行情 跟 油價行情 是相輔相依的會有正關係唷主要還是因為供需法則沒有一天的跌 我有吃到沒有一天有輸多空都是看對邊 至於要漲幾點 跌幾點我不可能知道這要問股版眾股神啦畢竟我不是就在剛剛我開掛了  看多尾盤有拉回的訊號  現在可以試看看,55,12,1,
758,2016/6/17,ronybaseball,[標的] 大盤(空),https://www.ptt.cc/bbs/Stock/M.1466095948.A.E55.html,Stock,1. 標的：台股大盤2. 分類：空3. 分析/正文：如標題昨日台股又不意外的大跌了其實綜觀全球股市還向台股在這死撐的也寥寥可數現在指數在高檔終究會回到它應有的位置以下附圖解說：昨日台股大跌   是近日台股吃下的第2根黑棒吃下2根黑棒會發生甚麼事呢??上圖可以看到今年在上漲的過程中從來沒有出現過2根黑棒如上圖通常出現過2根黑棒以上就代表趨勢扭轉了以現在來說就是簡單2個字：空頭那既然是空頭又該如何操作呢??如上圖對照現在空頭且之前的那波漲勢也沒有過3月的高點接下來跌破今年1月低點7600多是可想而見的4. 進退場機制：(停損價位/出場條件/長期投資)如第3點出場條件可以設今年低點7600多點當然如果下跌的過程沒有一根實體紅棒代表非常弱勢空單續抱也可如果非得要設停損點就設前波糕點8754點以上--,134,6,-1,
1002,2016/6/24,longreen,[標的] 台指期（空）,https://www.ptt.cc/bbs/Stock/M.1466768099.A.2C1.html,Stock,1. 標的：台指期2. 分類：空開始本文前，先跟有在等我後續文章的板友說聲抱歉，因為我的承諾遲遲沒有實現啊…。話說我最近突然發現自己很能體會富堅的心情XD 我最近是真的很忙，除了操盤外，主要是正在著手一本關於法律的書，再加上之前操作週期完結，就突然像洩了氣的皮球一樣，完全沒有動力寫交易的東西了。今天會再上來PO文，主要是因為一件事，我真的是按捺不住，想要說幾句。但我要再此聲明，我並不是要針對特定個人來落井下石，毋寧是針對類似的現象，跟大家分享一些重要的觀念，讓自己在學習交易的路上，盡可能走在正確的、成長的方向。首先我想釐清幾個觀念，我看到很多「盤前PO就給推」這種言論，其實這種觀念非常危險，這表示很多人重的是「預測」，而非「策略」，這在交易上是最要不得的。然而版上既然有這種風氣，所以人們喜歡盤前PO，也喜歡看別人盤前PO，預測當天行情，「準了」被奉為股神，賠了大家打落水狗，結果就是，不管PO文者是真的準還是不準，沒有人學到任何東西。不要預測行情，不要用任何理由預測行情，想像走勢背後的故事，你永遠不會知道市場今天會這樣走，而明天是那樣走，背後「真正」的原因是什麼。D大前幾篇文我都有看過（因為推文數高），但是我認為（恕我直言），D大的操作，並沒有一貫的技術性，都是看當下的行情，找些理由支撐自己決定的方向，簡單說，就是憑感覺。要強調的是，我並沒有說這樣是錯的或是不好的，而是這種方式非常個人化，沒有系統性，無法套用在每個人身上。也就是說，這是別人無法學習模擬的，到頭來還是只能讓別人看到你準不準，這樣而已。我絕對不是說喔某某某看錯了，不準還敢來PO文，然後上來批鬥人家這樣。交易沒有每次贏的，錯的時候很多，我今天PO這篇標的，將來也很有可能打到停損出場，這家常便飯。我不能接受的是，在標的文說「歐印不設停損」這種話，尤其是在前面「準」了好幾次之後。這不只不是在分享操作策略，根本是在傳遞最危險最錯誤交易觀念，法律上叫作「加害給付」，更誇張的是PO文者完全沒照自己的計畫執行…。我知道很多人會說愛跟單的人本來就要對自己負責。理性上而言，這確實無可反駁，但我個人是覺得，認為自己有本事PO類似文章的人，也是要有點道義責任，畢竟這不是真的「純學術」看板。總而言之，我誠摯地建議大家，要學習如何分辨分析文章的本質和優劣，我今天看到的這篇分析，是不是有它一貫的策略性，我有沒有辦法學習，我能不能用，這策略盲點在哪裡，優勢在哪裡，還是說只是一些籠統抽象的，沒有標準化的東西。你要學會判斷，不要只是關心版上哪個人比較「準」，下次來跟他的單，有些東西是很個人性的，別人那樣能獲利，但那就不是你能賺的錢。共勉之。差點忘記寫標的，今天台指這根大長黑下來，沒有意外的話，再過1∼3個交易日，均線就會形成全線空排了，很多基本觀念以前都講過，就不重複提。一樣的，反彈進場，分批進場，目前預定，先在8400掛1口空單（滿倉以5口計），停損設在今天長黑高點8553（設整數8560）。未來如果有成交，或盤勢有重要演變，我就會繼續PO文，順便把之前的文章繼續寫下去。還有再提醒一下，我並沒有作台指，倒是手上還有剩餘的美指空單，均價在17700左右，我還在等反彈加碼，目前台指線型和美指線型有一定相似度，所以操作上也是會類似。--,52,0,-1,
1106,2016/6/27,jokeman,Re: [標的] 盟立(2464),https://www.ptt.cc/bbs/Stock/M.1467040174.A.92A.html,Stock,::::::::::::::::::::::::::::::::盟立之前都在推文中私下討論，以免重覆發文會一直洗版從5/10 發文買進至今，用融資沿途加碼，一路也小賺了快45%看了最近籌碼攻擊的力道，明天開盤後有低點我會再加碼一些之前有買的人我覺得可以續抱，沒買的人其實觀望觀察一下就好畢竟我們也是33~34 一路買上來的，所以成本比較低這波段我個人認為會過45元，今天賣壓我認為是週四高點的短線獲利了結後續有法人助攻下，過前高應該不是問題!! 僅供參考--,97,1,0,
1141,2016/6/28,longreen,Re: [標的] 台指期（空）,https://www.ptt.cc/bbs/Stock/M.1467117779.A.102.html,Stock,根據這兩天行情演變，我們來做個交易策略的微調吧：先說明，這一次的交易週期，我們就以滿倉5口大台 / 20口小台為準操作吧，所以我前篇文說以1/10的部位初步進場，換算就等於2口小台。現在我們要調整一下進場方式，更新的策略為：8420、8460各掛1口小台，停損皆為8560，此外近期內若指數在盤中有突破月線，而收盤收在月線之下，原則上在收盤前再空一口小台。雖然以前強調過很多次了，但我還是要講，不斷地講，就像我說過的，一部好片你可以看很多遍，看到台詞都背起來也沒關係，而交易上的重要觀念，更是需要重複咀嚼內化，把它變成你直覺式的反射動作。像我上面那一段交易策略，你不能只是看表面上的數字，在哪裡掛單，掛幾口，這些技術性的東西是次要的，重要的是從一個簡單的策略描述之中，你要掌握它背後的交易精神。第一，我這兩次標的文，首先都是設定「滿倉幾口」，對吧，它的精神就在於風險控制，換句話說，就是你初步進場的最大可能虧損與你的總資金比率。我說過大台一口至少40萬，滿倉5口至少要200萬本金，那麼假設我們在某次交易初步進場一口，停損算200點好了，最後打到停損出場，虧損6萬，與本金比3％，你不會太痛，而且你可以這樣賠很多次，反正只要抓到一次成功的波段（像我們上次那樣），你可以整個連本帶利賺回來。把你每次交易的最大可能虧損與本金的比例控制在一個極小的幅度，最大的意義，在於穩定你的交易情緒，交易情緒穩定的話，你就可以更穩定地執行交易策略，不會變來變去，要馬賠多了就想孤注一擲，重壓翻本，或是自暴自棄，或是賺了一點就想烙跑，因為帳面上看起來你覺得「挖才幾天已經賺2成了，巴菲特都沒這麼厲害」，事實上是你的本金少，比例當然就高。在交易的過程中，你的情緒必定會隨著帳戶淨值的波動而起伏，最好的控制情緒的方法，不是在操作中或交易後打坐冥想壓抑思緒，也不是運動尻尻轉移注意力，而是在事前就將能影響你情緒的因子（就是浮動損益比！）減到最低。你可能會說，可是我的資金做不到5口大台怎辦，那就請你坐小台，如果你連小台都沒辦法，那就找槓桿更小的標的，再不行的話，麻煩妳賺夠存夠了，再踏進來這個世界吧，火星是很危險的同學。第二，同樣的，強調在強調，分批進場分批進場分批進場，輕倉試單輕倉試單輕倉試單，如果有人開始覺得我已經寫不出什麼新東西了，老梗連發，那我大可不要繼續發文，只要沒有人有意見，我還是會不斷講同樣的話。我之前說過，一個日線波段的操作週期，大約在2周到2月不等，而且是從第一次成交開始算喔，如果期間能持續越長，表示當次的交易越成功，既然時間能拉長，表示後面還有很多進場機會，何必在一開始押大注，您為什麼要這麼急呢？交易的本質是這樣，不管你用的是什麼策略，基本分析技術分析，順勢策略逆勢策略，都無妨，總之失敗的交易都會很快就結束，成功的交易都持續很久。如果你的交易是反過來，失敗（賠錢）的都拖很久，賺錢的週期都很短，不用看也知道你一定都是大賠小賺凹單不停損。（所以希望這次的交易週期可以持續久一點，如果進場沒幾天就打到停損我就沒機會繼續PO文了XD）第三，當然就是預設停損。當你看到這樣的策略內容時，第一個要想的，不是「喔這張單停損設這裡」，你最先要意識到的是：這個人一發標的就先設好停損了（而且不是隨便亂設）。停損怎麼設，是技術性問題，進場前必預設停損，是原則性問題，原則永遠大於技術。只要守住重要的交易基本原則，就算你技術不佳，實際上說要賠多少錢，還真的是不太容易。各位看我兩次發文，是不是都很自然地把這些步驟寫出來？上篇文中建議大家要學習辨識標的文或分析文的優劣，我想這一點可以作為判斷標準之一。因為這次的交易還在擬定策略階段（SOP記得嗎），當然還是要重複這個階段的基本觀念和原則。最後解釋一下為什麼今天要做這樣的策略調整，主要是這兩天台指的反彈行情，感覺有點強，又不會太強，均線的行進方式大致如我先前預計的，但是走勢並未如想像的弱，10日線還在8400以上，所以稍微調高試單點位。上面講的這些，就不是什麼制式化的原則或技術，而是我個人經驗培養出來的盤感，就好像上次進場我為什麼一開始會那樣設，也沒有什麼既定標準，所以我文章不會提到太多這類內容。經驗對交易而言非常重要，所以你要盡可能增加自己的經驗值，要增加經驗值，你就要不斷操作，而且要想辦法讓自己在市場上活得久，只要嚴格遵守我提出的幾個交易原則，你一定可以一直在市場上活下去。對了，不只一個板友來信問到，為什麼我知道有除權息問題後，是改成掛1/10部位，雖然我信有回了不過還是在這裡提一下，主要是因為我懶得再去估計更適當的進場點（也不好算），考量到除權息期間價差收斂等不確定性，索性直接減少初步進場口數，以降低部位曝險程度。喔還有，我這兩天想到一個點子，就是我如果平常有需要即時做策略更動或特殊提示之類，為了避免一直上版PO廢文，我會在前一篇文用推文留言喔，剛好推文有顯示時間，也可以順便做個記錄。（話說大概這兩天就會有單子成交惹，好像有點期待XD）好啦我知道很多人都在等上一個系列文的後續啦，尤其是盤整盤的操作方式和停利技巧，我這邊就先預告一下，這次初步進場單子成交之後，下篇文的標題是「交易技巧：停損點的設定4（進階題—均線糾結穿梭）」，也就是所謂的盤整盤惹，敬請期待嘿（希望不要當天進場當天就出場XD 不過就算這樣我還是會PO啦T.T）。--對了麻煩各位，如果有要寄信問我問題的，下次寄到siegkircheis好嗎，我這個帳號信箱沒容量了，之前為了清理還不小心刪掉還沒回的信...還有我絕對不是為了收信才開新帳號的嘿XD 那是前陣子開的為了轉寄文章用的，上次有提到我在著手一本法律相關的書，所以在八卦版看到值得參考的新聞或文章我就會轉寄，是「取材」用的XD。真的吼>.<好問題XD如果真的這樣的話（有時市場真的滿調皮（賤）的），就收盤再空兩口小台回來，進場K高點停損。過去的交易就過去了，再次出現交易訊號，不管間隔多短，一樣按表操課。不要說信啦拜託XD應該去信那些很「準」的XDs大你指的是什麼？,68,0,0,
1246,2016/6/30,longreen,Re: [標的] 台指期（空）,https://www.ptt.cc/bbs/Stock/M.1467268402.A.51A.html,Stock,命懸一線啊XD 很抖吼各位空軍們，不管你用的是什麼系統，停損設哪裡，記得確實執行不要凹單嘿。總之，既然今天市場女王讓我們繼續苟延殘喘，不給我們一刀斃命，我們還是要盡該盡的義務。接下來的交易策略，一樣守住原定停損8560，另一方面，如果明天收黑K在8420∼8460之間，收盤前加碼1口小台，停損8560，若收低於8420，則暫不動作。進場後，能撐一天算一天，活得越久領得越多。一旦建倉，還沒停損出場前，交易都是成功的。附帶一提，每個人對於浮動損益的心理容忍度不盡相同，如果你連用200萬做2口小台，停損120點左右，都會緊張得睡不著覺的話，表示你操作的槓桿還是太高了，應該再做調整。交易其實是一種探求自我的過程。交易技巧：停損點的設定4（進階題—均線糾結穿梭）「接著，昨日收盤，看到10日、20日線即將交叉通常這種情況，是一定會交叉的，很少在接近交叉時，又迅速軟下去(起碼也是交叉後再軟，而非連交叉都沒有就軟)所以，開始考慮進一點多單。想請問你，若依你的操作指標，今日應該確定會是10日站上20日了，是否就該果斷，於下次10日跌落至20日下面之前，都不再新開空單呢?想和你討論，謝謝~!」本篇文章將分為兩部分，當然是有關連性的。首先，上面這一段文字，事前一篇文章中PO過板友來信的後半，藉由這部分，我想把至今為止我對於操作的基本觀念、趨勢的定義和對線圖的解讀方法，完整清楚地重述一遍，而且我相信，如果你嚴格依照我下面所敘述的方式操作，不敢說你將來能賺到多豐厚的財富，但至少在交易上穩定地一點一滴地累積獲利，是絕對可以預期的。在這段期間板友來信的內容中，我發現比較多的問題是在於對趨勢的定義，換言之，也就是對於均線的解讀，還不是很能精確地掌握，多數人還是把焦點放在均線的「數值」及「位置」，這是不正確的。下面我再把本系統對於趨勢的定義做一次完整的描述（以多頭為例）：主要定義：5日線及10日線在20日線之上，20日線方向向上（這一句標閃爍顏色）。月線          決定方向，週線決定力道；趨勢判斷，先方向後力道。輔助定義：指數上漲過波段高點，下跌不破波段低點。就這樣，其實很簡單。本於上述原則，我們來看看我這兩次標的文的進場判斷（都是一致的）。請各位自己找線圖對照。在上一次的操作中，台指期在03/17創下波段高點8819，03/29跌破月線後反彈，03/31的反彈高點8815不過前波8819，高不過高；回跌之後，04/06破前波低點03/29的8564。至此，已經符合上述空頭趨勢的輔助定義，此外，經過04/01∼04/07的大跌，盤勢在04/08開始之後的反彈過程中，均線也漸漸形成空頭排列，也就是5、10日線在20日線之下，20日線方向向下，至此則符合上述空頭趨勢的主要定義。於是我在4/11（還12？）PO標的文做空，後續的過程大家應該都很清楚了。接下來是現在這一次。指數在06/08創下波段高點後拉回，06/14紅棒低點為波段低點，06/16大跌，破波段低點並破月線，06/17開始反彈，06/24黑棒高點為波段高點，不過前高，當日又跌破前波低點06/16的8247，至此，已經符合空頭趨勢的輔助定義，均線也如預期在日後形成標準定義下的空頭排列，同樣的，我再次PO了標的文做空，在反彈過程中進場。各位可以很清楚地看到，我的進場邏輯非常一致，可以說很機械性，不是這次有這次的理由，下次有下次的藉口。各位要切記，指數在線圖上的趨勢形成後，並不是保證會獲利，它的意義在於給我們固定的操作依據，只要我們不斷反覆做相同的事，輕倉試單，設好停損，獲利加碼，大賺小賠，財富自然會一點一滴累積起來。那麼我這裡附帶說明一下，為何我這次和上次在初步進場的下單方式尚有所差異。首先，從整體的型態上而言，上一次的盤勢，從3月初到4月初有一段密集的頭部區，這意味著相當程度的壓力；這一次的話，指數從06/08波段高點，直接V轉下來，這種情況，上方籌碼（壓力）的本質不好判斷，到底是因為根本性的原因使指數下跌呢，還是只是由於短線利空造成的？不曉得，所以心態上偏保守。最重要的，當然是06/24的暴跌，顯然是由於脫歐事件引發的，但是無論如何，線圖就是線圖，我們不可能，也沒有能力去分析預測公投後續會發酵出怎樣的效果（誰知道他們現在又要脫不脫的呢？），作為一個純技術交易者，我們只能按照市場，也就是價格本身，給我們的指示去操作，線圖出現什麼情形，我們就要做系統所設定相對應的動作，如果確實有其他方面的疑慮，那就降低部位，減少曝險程度。好了，現在回過頭來看看最前面那段板友來信的問題出在哪裡。從敘述內容中，可以知道其判斷上的瑕疵在於忽略了「月線方向」。我曾經說過，短中期均線，很可能會因為價格短暫的變化而擺盪，有時甚至會在月線上下穿梭不定，這就是行情在盤整時的特色，但是月線方向不是那麼輕易可以扭轉的，也就是，趨勢不是那麼容易就改變的，所以交易上更不能忽多忽空。這也是為什麼我在說明停損的文章時強調，初步進場後的停損，最重要的原則，各位還記得嗎，就是「下好離手」，「堅守」停損（記得堅守的意思嗎？）。因為既然我們以十分嚴格的方式定義出當下的行情趨勢，我們就要相信它不會輕易改變。所以我們要再一次，確實地，精準地，掌握上述（本系統）對於「趨勢」的定義，不是短均「站上」長均，也不是所謂的金叉死叉，而是*5日線及10日線在20日線之上，20日線方向向上（這一句標閃爍顏色）。*月線決定方向，週線決定力道；趨勢判斷，先方向後力道。*指數上漲過波段高點，下跌不破波段低點。至此，我們可以知道，前面來信的這位板友比較可惜的地方，大概是因為對於這個均線系統還不夠熟悉的緣故，過於急躁出場，甚至還有反向作多的念頭，以致於沒有吃到後面的大波段（我記得好像有先回對方說不建議作多吧？忘了XD）好了，一如往常地，我又寫不完當天預定的進度啦（唉）。下篇一樣是停損點的設定4，是下集。--,61,1,-1,
